recipe_name;image;time;calories;portions;ingredients;process
Оладьи из кабачков классические;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/110801145243/120612134431/p_O.jpg;20;527;2;"Молодые кабачки:1 штука;Пшеничная мука:3 столовые ложки;Куриное яйцо:2 штуки;Молотый черный перец:по вкусу;Соль:по вкусу;Растительное масло:70 мл;";В глубокую миску разбить яйца, немного поперчить, посолить и слегка взбить венчиком.Кабачок вымыть, обсушить и натереть на крупной терке (если кабачок не молодой — обязательно срезать грубую внешнюю кожуру и удалить семена).Добавить натертый кабачок к яичной массе и перемешать. Добавить муку и еще раз хорошо перемешать.Обжарить оладьи на растительном масле на среднем огне до румяной корочки.
Шоколадные маффины с кусочками шоколада;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/130822102925/130828220043/p_O.jpg;40;159;12;"Сахар:60 г;Какао:1 столовая ложка;Шоколад:100 г;Молоко:50 мл;Пшеничная мука:120 г;Разрыхлитель:1 чайная ложка;Куриное яйцо:1 штука;Сливочное масло:70 г;";Духовку разогреть до 180 градусов.В кастрюлю положить масло, сахар, шоколад (30 грамм), какао и молоко. Довести смесь до кипения и снять с огня.Когда смесь остынет, добавить яйцо и немного взбить.Добавить муку и разрыхлитель, перемешать.Оставшийся шоколад порубить.Форму заполнить тестом на 2/3, затем утопить в нем кусочки шоколада.Выпекать 25 минут.
Пудинг творожный с изюмом и яблоками;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120130134334/120214122934/p_O.jpg;30;513;4;"Творог:500 г;Молоко:½ стакана;Манная крупа:2 столовые ложки;Сахар:3 столовые ложки;Куриное яйцо:2 штуки;Изюм:2 столовые ложки;Яблоко:2 штуки;Сметана:7 столовых ложек;Сливочное масло:50 г;Ванилин:по вкусу;";Творог пропустить через мясорубку и протереть.Яблоки вымыть, очистить от кожуры и семян, мелко нарезать, добавить тщательно вымытый изюм.Протертый творог соединить с нарезанными яблоками, молоком, изюмом, сахаром, ванилином, желтками, манной крупой и хорошо перемешать. Затем в подготовленную массу добавить взбитые белки.Полученную массу выложить в форму, смазанную сливочным маслом, и поставить в духовку. При подаче на стол полить сметаной.
Итальянский салат с ветчиной, сыром и овощами;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131112204/130831172857/p_O.jpg;30;841;4;"Ветчина:300 г;Помидоры:2 штуки;Сладкий перец:2 штуки;Макароны:400 г;Консервированная кукуруза:300 г;Сыр:200 г;Майонез:по вкусу;";Отварите макароны — лучше всего использовать рожки или спиралевидные макароны — в подсоленной воде, слейте и дайте им остыть.Нарежьте помидоры и перец кубиками, ветчину — тонкими ломтиками. Сыр потрите на крупной терке.Смешайте все ингредиенты, заправьте салат майонезом.
Маффины;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213175727/120213175918/p_O.jpg;30;920;4;"Сахар:1 стакан;Куриное яйцо:2 штуки;Сливочное масло:75 г;Сметана:220 г;Пшеничная мука:1,5 стаканов;Сода:1 чайная ложка;Грецкие орехи:50 г;Светлый изюм:190 г;Сахарная пудра:50 г;";Яйца с сахаром взбить до образования белой массы. Добавить растопленное масло, сметану и гашенную уксусом соду. Хорошо взбить, добавляя муку.Небольшие формочки смазать растительным маслом, разлить тесто, не заполняя формы целиком, добавить в каждую немного изюма, посыпать нарезанными орехами.Выпекать в предварительно нагретой духовке на медленном огне примерно 20 минут. Готовые маффины остудить и посыпать сахарной пудрой.
Крабово-сырный салат шариками;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/121208021522/121216224559/p_O.jpg;25;177;4;"Сыр:100 г;Крабовые палочки:200 г;Куриное яйцо:2 штуки;Чеснок:1 зубчик;Майонез:по вкусу;";Яйца отварить в течение 10 минут с момента закипания. Охладить, залив холодной водой.Крабовые палочки натереть на мелкой терке (одну палочку можно оставить для украшения).Сыр натереть на мелкой терке.Яйца натереть на мелкой терке.В салатник положить сыр, яйца и половину крабовых палочек. Добавить 2–3 столовые ложки майонеза и зубчик чеснока, выдавленный через чеснокодавилку. Перемешать в однородную массу. Из полученной массы сформировать шарики, размером с мячик для настольного тенниса. Обвалять в оставшейся крабовой стружке.Выложить готовые шарики на тарелку, по желанию украсить порезанной крабовой палочкой и зеленью.
Домашний борщ;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/140914020053/140922091028/p_O.jpg;150;513;6;"Говяжья грудинка:750 г;Говяжья вырезка:300 г;Морковь:1 штука;Репчатый лук:1 головка;Сладкий перец:1 штука;Свекла:1 штука;Капуста:300 г;Картофель:200 г;Томатная паста :1 столовая ложка;Подсолнечное масло:2 столовые ложки;Лавровый лист:по вкусу;Соль:по вкусу;Молотый черный перец:по вкусу;";Мясо положить в большую кастрюлю, залить 3 литрами воды, довести до кипения, варить 1,5 часа.Нарезать перец.Морковь натереть на терке, лук нарезать мелкими кубиками, обжарить до золотистости. Положить в кастрюлю вместе с нарезанным перцем.Через 10 минут добавить нарезанную картошку.Свеклу натереть, жарить минут 10, добавить томатную пасту, накрыть крышкой и тушить еще 20 минут. В борщ положить через 10 минут после картошки. Варить еще 10 ­минут.Нашинковать капусту и добавить ее в самом конце. Варить еще 3 минуты, добавить лавровый лист, посолить, поперчить.Снять с огня, дать настояться минимум 20 минут, а лучше ночь. Есть со сметаной.
Итальянский суп с сосисками;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/130725133817/130731113523/p_O.jpg;60;293;8;"Оливковое масло:1 столовая ложка;Сосиски:450 г;Репчатый лук:2 головки;Чеснок:2 зубчика;Куриный бульон:900 мл;Консервированные помидоры:800 г;Макароны:150 г;Консервированная фасоль:225 г;";Обжариваем в кастрюле сосиски, пока они не зарумянятся. Перекладывем сосиски в миску.В той же кастрюле в масле нарезанный лук пассеруем, чтобы он стал золотистым. Добавляем очень мелко нарубленный чеснок, готовим еще 1 минуту, добавляем размятые ложкой помидоры.Добавляем куриный бульон, доводим до кипения, уменьшаем огонь и, закрыв крышкой, варим 25 минут.В суп добавляем консервированную белую фасоль, жареные сосиски и предварительно сваренные мелкие макароны. Подаем горячим, можно с пармезаном.
Куриное филе с грибами и сыром;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213175333/1202131754172/p_O.jpg;50;599;4;"Шампиньоны:200 г;Куриное филе:500 г;Сметана:150 г;Майонез:150 г;Репчатый лук:1 штука;Петрушка:1 пучок;Сыр:150 г;Соль:по вкусу;Молотый черный перец:по вкусу;";Отбить куриное филе и разложить на противне. Тем временем приготовить смесь из нарезанных грибов, лука, натертого на терке сыра, сметаны, майонеза и зелени петрушки, посолить, поперчить.Выложить готовую смесь на каждый из кусочков филе и запечь в духовке при 180 градусах в течение 30-35 минут до появления румяной корочки.
Индейка с яблоками и луком;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/121220162751/121228181451/p_O.jpg;15;465;2;"Индейка:300 г;Лук:1 головка;Яблоко:1 штука;Соевый соус:1 столовая ложка;Оливковое масло:2 столовые ложки;Подсолнечное масло:1 столовая ложка;Соль:по вкусу;Молотый черный перец:по вкусу;";Нарезать индейку на небольшие кусочки и положить ее мариноваться в оливковом масле с соевым соусом.Нарезать яблоко кубиками, а лук — тонкими кольцами. Обжарить лук в подсолнечном масле, помешивая, до золотистого цвета.Добавить к луку индейку вместе с маринадом и жарить на сильном огне несколько минут, постоянно помешивая.Убавить огонь, добавить яблоко, посолить, поперчить, накрыть крышкой и оставить тушиться еще минут на 7–10.В качестве гарнира очень хорошо подойдет гречневая лапша или рис.
Куриное филе с соусом и гречкой;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131082543/120213180053/p_O.jpg;40;505;4;"Гречневая крупа:200 г;Куриное филе:4 штуки;Репчатый лук:1 головка;Сметана:150 г;Молоко:100 мл;Соевый соус:2 чайные ложки;Петрушка:по вкусу;Растительное масло:1 столовая ложка;";Отварить гречку.Приготовить соус — смешать в кастрюле молоко, соевый соус и сметану, подержать на огне минуты три, снять и добавить мелко рубленную петрушку.Обжарить на сковороде куриное филе. Когда оно будет готово, добавить лук колечками и обжаривать, пока он не станет золотистого цвета.Добавить на сковороду соус и полстакана воды.Тушить около 15 минут.Подавать филе с гречкой.
Суп том-ям-кунг;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/130829212936/130904175159/p_O.jpg;15;293;6;"Куриный бульон:2 л;Перечная паста том-ям:100 г;Лимон:2 штуки;Рыбный соус:20 мл;Сахар:50 г;Лимонная трава:2 столовые ложки;Имбирь:30 г;Листья лайма:4 штуки;Очищенные креветки:500 г;Шампиньоны:200 г;Кокосовое молоко:200 мл;Кинза:50 г;Перец чили:1 штука;";В куриный бульон добавить мелко нарезанный имбирь, листья лайма, лимонную траву (две столовые ложки сухой или два стебля свежей) и варить пять минут.Добавить туда же перечную пасту, перемешать бульон и варить еще две минуты.Затем добавить рыбный соус, ­сахар, еще через две минуты креветки, нарезанные грибы, перец чили, наструганный кольцами, и кокосовое молоко.Довести до кипения, влить сок двух лимонов, всыпать крупно нарубленную кинзу, дождаться, пока суп снова закипит, и снять с огня.
Щавелевый суп;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/121102151737/150616150517/p_O.jpg;35;325;6;"Куриный бульон:2 л;Картофель:150 г;Куриное яйцо:3 штуки;Щавель:100 г;Лук:70 г;Морковь:70 г;Лимон:⅓ штуки;Сметана:300 г;Лавровый лист:1 штука;Растительное масло:75 мл;Петрушка:20 г;Укроп:20 г;Соль:по вкусу;Свежемолотый черный перец:по вкусу;";Щавель вымыть, листья крупно нарезать, а оторванные стебли положить в кастрюлю, залить куриным бульоном и дать ему покипеть пять минут. После этого процедить бульон через мелкое сито и марлю (или полотенце), чтобы в нем не осталось мелких песчинок, которые могут быть на щавеле даже после того, как его промыли.Морковь очистить и натереть на крупной терке, лук нарезать кубиками. На разогретую ско­вороду налить растительное масло и пассеровать морковь и лук на силь­ном огне до золотистого цвета, не забывая помешивать.Процеженный бульон снова ­поставить на плиту. Пока он будет закипать, крупную картофелину очистить и нарезать кубиками со стороной около 1 см. Закинуть картошку в кипящий бульон и добавить готовую смесь моркови и лука и лавровый лист.Пока картошка отваривается в бульоне (это займет пример­но десять-пятнадцать минут — она должна стать мягкой), разбить в миску три яйца и слегка взбить их венчиком до однородной консистенции.Как только картошка дойдет до готовности, выжать в суп немного лимонного сока — понадобится примерно 10 мл, но количество можно варьировать в зависимости от кислоты самого щавеля.Постоянно помешивая суп венчиком, понемногу влить в кастрюлю взбитые яйца. Продолжать мешать, пока они не загустеют и не превратятся в яичные нити. Посолить и поперчить по вкусу.Добавить в суп нарезанный щавель, перемешать и дать ему немного увариться — максимум пять минут, затем еще раз перемешать и снять кастрюлю с огня. Отделить зелень петрушки и укропа от стеблей, листья мелко нарезать.При подаче посыпать щавелевый суп свежей зеленью (примерно пару грамм на порцию) и добавить столовую ложку сметаны — хотя можно и больше, это пойдет ему только на пользу.
Рис с яйцом по-китайски;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131083923/120213175245/p_O.jpg;30;323;4;"Длиннозерный рис:150 г;Куриное яйцо:3 штуки;Чеснок:2 зубчика;Зеленый лук:5 штук;Растительное масло:2 столовые ложки;Зеленый горошек:125 г;Соевый соус:1 столовая ложка;Соль:по вкусу;";Отварить рис около 10–12 минут, почти до готовности, но не до полной мягкости. Слить и промыть под холодной водой, снова слить.В кастрюлю вылить яйца, взбить немного, поставить на маленький огонь, подогревать, помешивая, пока они немного не схватятся.Раскалить масло в большом воке. Добавить раздавленный чеснок, мелко нарезанный лук, отваренный горошек и обжаривать, помешивая, 1–2 минуты. Добавить в вок рис, перемешать. Добавить яйца, светлый соевый соус и щепотку соли, перемешать. Разложить по тарелкам, украсить нарезанным зеленым луком и подавать.
Аджарские хачапури;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/131207233339/131212121916/p_O.jpg;90;1023;5;"Пшеничная мука:550 г;Молоко 3,2%-ное:400 мл;Сливочное масло:45 г;Сухие дрожжи:5 г;Сахар:10 г;Растительное масло:7 мл;Крупная соль:11 г;Сыр сулугуни:510 г;Имеретинский сыр:170 г;Куриное яйцо:6 штук;Соль:10 г;";Муку (530 г) просеять в глубокую миску, добавить дрожжи, соль, сахар, комнатной температуры молоко, растительное масло и 20 грамм размягченного сливочного. Все тщательно перемешать до однородности, если нужно, влить немного воды (около 50 мл). Накрыть миску с тестом, оставить на тридцать-сорок минут. Разделить тесто на пять порций — их нужно ­использовать сразу же или отправить в холодильник.Чтобы сделать начинку, нужно крупно натереть весь сыр, смешать его с яйцом и добавить 20 грамм сливочного масла — если сыр жирный, можно обойтись и без масла: начинка должна быть достаточно рыхлой.Пять порций теста раскатать скалкой так, чтобы получились довольно большие овалы толщиной 5 мм. По периметру сделать проколы зубочисткой или деревянной шпажкой, чтобы выпустить воздух.Выложить на порции раскатанного теста по 150 грамм сыр­ной начинки (смесь имеретинского сыра, сулугуни и одного яйца), соединить края теста и защипнуть — по форме ха­чапури должны напоминать ­лодочки.В середине каждого пирога осторожно растянуть тесто руками, сделать надрез длиной около 4 см и подвернуть края теста внутрь хачапури так, чтобы была видна начинка.Еще раз проколоть пироги по периметру, разложить их по сухим формам для выпечки и поставить в разогретую до максимальной температуры духовку на пятнадцать минут.За 4-5 минут до готовности, нужно достать блюдо из духовки, положить яйцо и отправить снова «доходить».Перед подачей аккуратно уложить на яичные серединки пирогов по два небольших кусочка сливочного масла.
Классический рассольник на говяжьем бульоне;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131085148/120726091906/p_O.jpg;95;365;4;"Говядина:300 г;Картофель:3 штуки;Перловая крупа:150 г;Морковь:1 штука;Репчатый лук:1 головка;Соленые огурцы:2 штуки;Молотый черный перец:на кончике ножа;Сметана:2 столовые ложки;";Картофель, морковь, лук очистить, вымыть и нарезать мелкими кубиками. Соленые огурцы очистить от кожицы и нашинковать.Перловую крупу перебрать, промыть, отварить до полуготовности.Сварить бульон из говядины, добавить картофель, довести до кипения, положить перловку, варить на слабом огне 7–8 минут.Поджарить на растительном масле морковь, лук и нашинкованную зелень, выложить в рассольник.За 5 минут до окончания варки положить соленые огурцы, добавить соль и перец. Перед подачей на стол рассольник заправить сметаной и украсить веточкой зелени.
Бабагануш с кунжутом;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/130813174717/131120150727/p_O.jpg;40;164;6;"Баклажаны:4 штуки;Чеснок:3 зубчика;Кунжутные семечки:50 г;Лимон:1 штука;Оливковое масло:50 мл;Петрушка:10 г;Соль:по вкусу;Молотый черный перец:по вкусу;";Баклажаны проколоть вилкой или ножом в нескольких местах и поставить на полчаса в разогретую до 180 градусов духовку.Когда они будут готовы, извлечь мякоть, постаравшись не обжечь­ся, — или оставить остывать и извлечь, когда баклажаны станут холодными. Чем меньше фиолетовой кожицы попадет в блюдо, тем лучше: нужна только мякоть.В блендере сделать пасту из кунжутных семечек, чеснока, сока лимона, оливкового масла, щепотки соли и перца. Добавить баклажаны и петрушку — и превратить все это в однородное пюре.
Ленивые вареники;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/130907154434/130919125247/p_O.jpg;35;632;2;"Творог 9%-ный:500 г;Куриное яйцо:1 штука;Манная крупа:2 столовые ложки;Пшеничная мука:щепотка;Сливочное масло:1 столовая ложка;Сахар:1 столовая ложка;Соль:по вкусу;";Воду (примерно 1 литр) поставить на большой огонь, посолить по вкусу — хватает большой щепотки. В творог разбить яйцо, добавить сахар и манку и тщательно все перемешать.Рабочую поверхность присыпать мукой, обвалять в ней ­половину творожной смеси, скатать в колбаску диаметром около двух сантиметров и нарезать ромбиками шириной примерно полтора сантиметра. Такой размер — буквально на один укус, любители могут нарезать и крупнее.Готовые вареники опустить в кипящую воду и стоять наготове с шумовкой: как только ­вареники начнут всплывать, их нужно вынимать и складывать в подготовленную посуду со сливочным маслом на дне.Когда все вареники будут готовы, тщательно их перемешать и выложить в глубокую тарел­ку. Подавать со сметаной или фруктами.
Банановые оладьи на молоке;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131111357/120213175054/p_O.jpg;30;429;4;"Куриное яйцо:1 штука;Бананы:2 штуки;Молоко:¼ стакана;Сахар:½ стакана;Пшеничная мука:1 стакан;Растительное масло:2 столовые ложки;";Смешайте в миксере бананы, яйца, молоко и сахар вплоть до образования однородной массы. Вмешайте туда же муку и быстро перемешайте, но не до однородного состояния.Ложкой выкладывайте полученную массу на горячую сковороду с маслом. Обжаривайте с обеих сторон, пока оладьи не станут коричневыми.
Пицца «Маргарита» Вальтера Бизоффи;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/110812141030/130725151736/p_O.jpg;50;443;8;"Мука семола:100 г;Пшеничная мука:500 г;Сыр моцарелла для пиццы:100 г;Сыр пармезан:70 г;Оливковое масло:100 мл;Базилик:30 г;Соль:щепотка;Вода:300 мл;Свежие дрожжи:10 г;Помидоры пелати:100 г;Сахар:10 г;";Муку просеять. В отдельной емкости дрожжи и сахар залить водой, тщательно перемешать, влить 1 ч. л. оливкового масла и снова перемешать. Отставить чтобы дрожжи «подошли».В муку влить дрожжевую смесь, добавить щепотку морской соли и размешать все блендером. Достать тесто и размять на столе (это позволит обогатить его кислородом). Затем тесто сформировать в виде шара, упаковать в пищевую пленку и отправить в теплое место на час.В отдельную миску выложить помидоры и измельчить их при помощи погружного блендера, добавить листья базилика, влить 1 ч. л. оливкового масла, поперчить, посолить и все тщательно перемешать.Отдельно мелко нарезать сыр моцарелла.Когда тесто «подойдет», его тщательно раскатать. Противень или камень для пиццы присыпать семолой. На тесто выложить помидорную смесь, сверху — моцареллу. В конце посыпать тертым пармезаном, украсить листьями базилика и полить небольшим количеством оливкового масла.Поставить пиццу в духовку на десять минут при температуре 250 градусов.
Безе;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120214155832/120214160207/p_O.jpg;70;61;12;"Сахар:150 г;Яичный белок:3 штуки;Ванильный сахар:2 чайные ложки;";Смешиваем 150 г сахара и 2 чайные ложки (но можно и побольше, так запах будет на весь дом) ванильного сахара.Главное — тщательно отделить белки от желтков, иначе белки будут плохо взбиваться и ничего не выйдет. Я беру две чашечки, в одну аккуратно выливаю белки, в другой остаются желтки (их можно прикрыть фольгой, убрать в холодильник и потом что-нибудь тоже из них сделать). Берем какую-нибудь миску, в которой будем взбивать белки (у меня для этого есть специальная пластмассовая посудина, в ней можно взбивать все, что угодно), миксер, и вперед! Важно, конечно, чтобы миксер был мощный. Если все в порядке, то 3–5 минут должно вполне хватить, чтобы получилась крепкая пена, которая не вывалится, даже если вы опрокинете миску вверх дном.Высыпаем сахар из стакана, взбиваем еще минут 5. Пока сахар более менее не станет с пеной одним целым. Дело сделано! Чтобы проверить, насколько все идеально, можно провести венчиками миксера по поверхности пены, и если останутся неподвижные следы, то все ок!На противень кладем лист бумаги для выпекания, чтобы подходил по размеру. Ну и накладываем на него будущие безе в любой форме! Я делаю волшебные штучки с помощью пакетика с разными насадками (что-то вроде кондитерского шприца, только попроще). Можно сделать маленькие безе или большие. Маленькие, кстати, быстрее выпекаются. Ставим в духовку при 120 градусах, на 50–60–80 минут.
Кесадилья с курицей и с чеддером;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131084941/130815092034/p_O.jpg;30;526;4;"Куриная грудка:3 штуки;Репчатый лук:1 головка;Помидоры:1 штука;Сыр чеддер:100 г;Красный сладкий перец:1 штука;Консервированная кукуруза:по вкусу;Укроп:по вкусу;Томатная паста :100 г;Тортильи:6 штук;Соль:по вкусу;Молотый черный перец:по вкусу;Оливковое масло:по вкусу;";Мелко нарезать лук, помидоры и болгарский перец, добавить кукурузу (по желанию), обжарить все на небольшом количестве масла, переложить в миску, по желанию, можно добавить мелконарезанный укроп (для свежести).Куриное филе нарезать тонкими брусочками (не более 1 см толщиной) и обжарить в оливковом масле на сильном огне в течение 2–3 минут, помешивая. Добавить томатную пасту, соль и перец, перемешать, подержать на огне еще 1 минуту и переложить мясо к овощам.Сыр чеддер натереть на крупной терке (также это может быть пармезан, гауда или другой твердый/полутвердый сыр).В тортилью на половину посыпать сыр, затем выложить начинку, сверху — еще слой сыра, накрыть второй половиной тортильи, разрезать пополам (как на картинке) и обжарить на сковороде или гриле в течение 2–3 минут одной стороны, затем аккуратно перевернуть и поджарить с другой стороны еще 1–2 минуты.
Морковный пирог с миндалем;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213181523/120213181648/p_O.jpg;80;781;4;"Морковь:2 штуки;Миндаль:300 г;Сахар:200 г;Куриное яйцо:4 штуки;Пшеничная мука:50 г;Лимонная цедра:3 столовые ложки;Корица:щепотка;Куантро:1 столовая ложка;Разрыхлитель:1 чайная ложка;";Две крупные морковки очистить и натереть на крупной терке. Миндаль смолоть в крошку в кухонном комбайне. Смешать морковь и миндаль в большой глубокой миске.Яйца разделить на желтки и белки. Желтки взбить с половиной сахара (100 г), добавить муку, разрыхлитель, щепотку корицы, цедру. В конце влить ликер и перемешать. Полученную массу соединить с морковью и миндалем.В отдельной чистой и сухой миске венчиком взбить белки с оставшимся сахаром в плотную пену и аккуратно лопаткой или деревянной ложкой вмешать ее в морковно-ореховое тесто.Тесто перелить в предварительно смазанную небольшим количеством растительного масла глубокую форму. Выпекать чуть меньше часа при температуре 180 градусов.Готовый пирог вынуть из духовки, остудить в течение двадцати — двадцати пяти минут и вынуть из формы. Нарезать на порции и сразу подавать.
Крем-суп из шампиньонов и картофеля;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/121022175326/121031233233/p_O.jpg;30;381;4;"Шампиньоны:300 г;Картофель:4 штуки;Репчатый лук:2 штуки;Сливки 20%-ные:500 мл;Соль:по вкусу;Молотый черный перец:по вкусу;";Поставить вариться 4–5 средних картофелин.Лук и грибы очистить. Лук мелко нарезать, грибы нарезать дольками. Обжарить лук на сливочном масле до прозрачности, потом добавить грибы. Жарить до готовности грибов, постоянно помешивая, чтобы не пригорело.Когда картошка сварится, слить воду, но можно, на всякий случай, оставить стакан воды, в которой варилась картошка. Добавить грибы с луком в картофель, добавить сливки, соль, перец и измельчить блендером. Если вам кажется, что суп густоват, добавить ту самую воду.Подавать с гренками.
Харчо из курицы;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120214125956/120214130142/p_O.jpg;80;141;5;"Рис:2 столовые ложки;Куриная грудка:1 штука;Репчатый лук:1 головка;Чеснок:1 головка;Томатная паста :½ банки;Кинза:по вкусу;Хмели-сунели:по вкусу;Лавровый лист:2 штуки;Соль:по вкусу;Молотый черный перец:по вкусу;";Поставить варить куриную грудку в подсоленной воде. Во время ее варки промыть рис, чтобы блюдо не получилось похожим на кашу.Достать куриную грудку из бульона и засыпать в него промытый рис.Пока рис варится, нарезать головку лука кубиками и поставить жарить на медленном огне, обжаривать до золотистого цвета (главное не пережарить).Когда лук готов, добавить в сковородку томатную пасту, хорошо перемешать с луком и добавить пару столовых ложек куриного бульона, накрыть крышкой и ждать пока не сварится рис.Пока рис варится и тушится томатная паста с лучком, филе курицы отделить от косточек (если вы варите курицу с косточками, так бульон получается более наваристым) и порезать мясо соломкой (т.е. вдоль волокон, но так чтобы не получилось очень длинно) и засыпать обратно в бульон к рису.Добавить к курице и рису томатную смесь и оставить вариться на медленном огне.Чеснок натереть на мелкой терке и добавить в суп.Кинзу промыть под струей холодной воды и добавить в блюдо.Кинуть лавровый листок, хмели-сунели, соль, перец — все по вкусу.
Традиционные спагетти болоньезе;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213182322/120213182408/p_O.jpg;110;988;4;"Оливковое масло:2 столовые ложки;Чеснок:2 зубчика;Репчатый лук:1 головка;Морковь:1 штука;Стебель сельдерея:1 штука;Красное сухое вино:375 мл;Говяжий фарш:500 г;Говяжий бульон:500 мл;Сахар:1 чайная ложка;Консервированные помидоры:850 г;Рубленая петрушка:3 столовые ложки;Спагетти:500 г;Тертый сыр пармезан :по вкусу;";Разогрейте оливковое масло в большой сковороде и добавьте измельченные чеснок, лук, морковь и сельдерей. Тушите на маленьком огне 5 минут до мягкости овощей.Увеличьте огонь и добавьте мясо. Перемешайте деревянной лопаткой, разломав комочки. Добавьте бульон, вино, помидоры, сахар и петрушку. Доведите до кипения, уменьшите огонь и тушите 1,5 часа, иногда помешивая. Посолите и добавьте специи.Перед подачей сварите спагетти, слейте и подавайте с соусом и пармезаном.
Хоткейки (американские блинчики);https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131082748/120214155841/p_O.jpg;10;94;6;"Куриное яйцо:1 штука;Молоко:100 мл;Пшеничная мука:5 столовых ложек;Разрыхлитель:1 чайная ложка;Сахар:2 столовые ложки;Ваниль:по вкусу;";Смешать все ингредиенты венчиком или вилкой (должно получиться достаточно густое тесто).Разогреть сковородку с антипригарным покрытием.На среднем огне на сухую сковородку налить тесто.Закрыть стеклянной крышкой.Дождаться появления пузыриков, при этом поверхность будет еще влажная.Перевернуть и печь под крышкой. Каждый блинчик готовится не более 1 минуты.
Буррито с курицей и рисом;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213181923/120213183643/p_O.jpg;30;500;6;"Тортильи:6 штук;Куриное филе:600 г;Рис:200 г;Помидоры:4 штуки;Репчатый лук:2 головки;Сладкий перец:3 штуки;Зелень:100 г;Сыр:150 г;Кетчуп:100 г;";Курицу мелко порезать и, помешивая, жарить 10 минут на растительном масле, посолить и поперчить. Добавить нарезанные помидоры, лук, сладкий перец, полить кетчупом и тушить на медленном огне 5 минут.Получившуюся смесь смешать с отваренным рисом и тертым сыром. Добавить мелко нарезанную зелень.Выложить немного остуженную смесь на лепешки, завернуть, и прогреть в микроволновой печи или духовке чтобы расплавился сыр.
